ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
ID_001,0.457,0.009,0.234,0.894,0.615,0.186,0.965,0.982,0.662,0.974,0.228,0.504,0.143,0.767,0.926,0.56,0.893,0.933,0.113,0.202,0.202,0.296,0.024,0.021,0.418,0.57,0.314,0.22,0.262,0.27,0.023,0.908,0.019,0.865,0.962,0.732,0.426,0.816,0.608,0.493
ID_002,0.221,0.636,0.131,0.606,0.275,0.836,0.589,0.901,0.997,0.528,0.539,0.172,0.458,0.855,0.317,0.405,0.782,0.867,0.463,0.189,0.585,0.634,0.764,0.744,0.833,0.104,0.41,0.531,0.674,0.258,0.887,0.697,0.57,0.299,0.94,0.736,0.636,0.12,0.097,0.725
ID_003,0.87,0.177,0.234,0.275,0.654,0.108,0.072,0.289,0.712,0.623,0.713,0.282,0.914,0.407,0.906,0.741,0.53,0.681,0.181,0.067,0.884,0.722,0.513,0.737,0.037,0.541,0.252,0.553,0.674,0.701,0.031,0.652,0.082,0.216,0.79,0.857,0.989,0.069,0.407,0.624
ID_004,0.877,0.084,0.377,0.326,0.834,0.761,0.137,0.866,0.275,0.683,0.255,0.79,0.765,0.378,0.175,0.769,0.728,0.123,0.762,0.382,0.205,0.838,0.286,0.978,0.795,0.291,0.065,0.811,0.684,0.769,0.7,0.997,0.191,0.832,0.306,0.579,0.807,0.072,0.157,0.265
ID_005,0.881,0.984,0.432,0.83,0.478,0.106,0.63,0.659,0.862,0.236,0.787,0.47,0.494,0.751,0.144,0.982,0.314,0.124,0.411,0.211,0.339,0.757,0.507,0.913,0.632,0.16,0.106,0.046,0.145,0.207,0.299,0.886,0.886,0.783,0.954,0.901,0.737,0.136,0.28,0.762
ID_006,0.559,0.834,0.224,0.596,0.183,0.859,0.241,0.676,0.559,0.534,0.864,0.838,0.91,0.502,0.282,0.282,0.196,0.186,0.175,0.481,0.716,0.397,0.565,0.424,0.505,0.295,0.832,0.977,0.392,0.059,0.5,0.495,0.716,0.268,0.248,0.258,0.763,0.404,0.098,0.17
ID_007,0.846,0.994,0.598,0.835,0.604,0.211,0.891,0.48,0.748,0.771,0.755,0.331,0.585,0.173,0.086,0.739,0.457,0.249,0.653,0.843,0.115,0.964,0.035,0.231,0.755,0.05,0.723,0.903,0.009,0.387,0.345,0.518,0.957,0.811,0.673,0.993,0.049,0.983,0.426,0.437
ID_008,0.824,0.041,0.695,0.6,0.288,0.502,0.96,0.692,0.344,0.211,0.867,0.886,0.089,0.742,0.677,0.612,0.081,0.265,0.714,0.231,0.559,0.847,0.42,0.702,0.953,0.234,0.914,0.035,0.718,0.845,0.859,0.715,0.088,0.771,0.297,0.992,0.482,0.714,0.592,0.353
ID_009,0.505,0.941,0.229,0.345,0.365,0.432,0.857,0.827,0.464,0.687,0.779,0.07,0.479,0.549,0.635,0.254,0.618,0.838,0.328,0.849,0.754,0.214,0.299,0.6,0.508,0.529,0.943,0.79,0.099,0.12,0.382,0.72,0.783,0.532,0.42,0.248,0.054,0.487,0.931,0.642
ID_010,0.465,0.021,0.766,0.496,0.216,0.993,0.33,0.113,0.109,0.255,0.41,0.123,0.272,0.983,0.566,0.191,0.495,0.465,0.375,0.727,0.557,0.811,0.651,0.831,0.859,0.779,0.769,0.611,0.728,0.567,0.428,0.466,0.244,0.384,0.947,0.97,0.789,0.901,0.21,0.349
ID_011,0.702,0.197,0.417,0.684,0.613,0.901,0.125,0.805,0.786,0.948,0.998,0.774,0.461,0.962,0.165,0.812,0.922,0.806,0.221,0.465,0.063,0.101,0.871,0.208,0.774,0.18,0.593,0.735,0.201,0.629,0.502,0.765,0.578,0.779,0.472,0.007,0.751,0.364,0.322,0.851
ID_012,0.23,0.782,0.01,0.729,0.409,0.633,0.648,0.028,0.545,0.023,0.212,0.192,0.064,0.376,0.861,0.748,0.935,0.148,0.343,0.626,0.484,0.043,0.423,0.026,0.863,0.043,0.165,0.645,0.162,0.586,0.149,0.843,0.754,0.015,0.14,0.209,0.992,0.987,0.147,0.51
ID_013,0.538,0.416,0.481,0.954,0.794,0.086,0.496,0.574,0.363,0.768,0.359,0.059,0.126,0.739,0.445,0.87,0.085,0.443,0.692,0.961,0.654,0.849,0.354,0.563,0.408,0.193,0.708,0.762,0.79,0.634,0.468,0.584,0.823,0.81,0.18,0.654,0.625,0.608,0.94,0.028
ID_014,0.626,0.24,0.714,0.73,0.689,0.191,0.421,0.83,0.136,0.994,0.523,0.362,0.017,0.371,0.416,0.472,0.664,0.239,0.974,0.889,0.081,0.587,0.112,0.404,0.132,0.122,0.979,0.706,0.97,0.329,0.255,0.403,0.125,0.246,0.675,0.057,0.062,0.196,0.981,0.113
ID_015,0.47,0.562,0.554,0.93,0.728,0.684,0.207,0.709,0.51,0.962,0.386,0.598,0.575,0.559,0.07,0.467,0.933,0.706,0.363,0.117,0.321,0.423,0.918,0.603,0.54,0.872,0.909,0.314,0.266,0.978,0.197,0.174,0.875,0.985,0.735,0.23,0.496,0.913,0.794,0.462
ID_016,0.868,0.843,0.853,0.245,0.891,0.721,0.659,0.451,0.548,0.911,0.968,0.04,0.366,0.23,0.558,0.551,0.099,0.524,0.742,0.552,0.283,0.952,0.765,0.478,0.222,0.039,0.104,0.055,0.512,0.965,0.306,0.675,0.409,0.005,0.607,0.452,0.845,0.452,0.578,0.07
ID_017,0.852,0.006,0.904,0.473,0.638,0.519,0.093,0.707,0.507,0.661,0.134,0.394,0.421,0.03,0.273,0.671,0.307,0.623,0.257,0.729,0.506,0.852,0.38,0.882,0.382,0.461,0.659,0.446,0.091,0.042,0.81,0.378,0.456,0.105,0.281,0.098,0.816,0.836,0.363,0.913
ID_018,0.205,0.136,0.864,0.804,0.51,0.055,0.141,0.801,0.547,0.288,0.165,0.471,0.573,0.311,0.046,0.883,0.87,0.703,0.159,0.043,0.982,0.65,0.561,0.032,0.801,0.827,0.342,0.247,0.207,0.084,0.862,0.402,0.526,0.964,0.897,0.297,0.096,0.528,0.883,0.77
