y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2.0,0.502,-1.444,-1.72,-1.363,1.391,0.587,-0.977,0.703,-1.672,-0.159
1.0,-4.329,-5.717,-7.596,-0.472,0.783,0.192,-0.145,5.362,-1.155,2.312
0.0,-1.983,1.5,-3.604,-3.164,-0.86,-0.483,1.937,-1.639,0.467,-1.198
0.0,2.608,-1.284,-1.162,-0.793,-3.214,-2.637,2.865,0.628,-2.599,-0.88
2.0,1.557,-2.588,-1.948,3.117,-1.724,0.075,1.899,1.43,0.887,0.598
1.0,-3.437,-5.813,-1.765,3.816,-4.665,3.001,-0.907,-0.628,-3.994,-1.423
1.0,-1.032,0.715,0.497,2.192,-3.481,1.477,-1.391,-1.363,-2.024,0.133
2.0,0.835,-2.188,-2.068,-1.125,1.155,-1.305,0.15,0.148,-1.514,-3.226
1.0,0.397,0.344,0.14,2.228,2.013,-0.511,-0.034,-1.032,-0.488,-0.122
2.0,-1.496,-0.435,-1.001,3.22,-0.166,-1.716,-2.72,-0.022,-1.573,-0.768
0.0,-1.04,-2.689,2.154,-2.388,-3.657,5.396,2.308,-2.703,5.43,-2.246
0.0,2.242,1.298,-3.18,-1.373,-5.945,-2.924,2.387,1.505,-3.75,-4.41
2.0,-0.337,-1.114,-1.023,-0.253,-0.518,-0.388,-2.01,-0.024,-0.436,-3.74
1.0,-0.767,0.388,-0.953,2.033,1.975,-0.396,-1.646,4.145,-2.844,-2.71
1.0,-5.807,-4.654,-0.215,4.705,0.256,1.247,0.13,-3.972,-2.245,-1.049
1.0,-4.14,1.582,-2.475,-1.162,-0.378,2.517,0.071,5.499,0.404,-1.161
0.0,1.912,-3.039,-0.16,-2.753,-5.149,-2.83,4.193,2.246,1.258,0.454
2.0,3.454,-3.689,-3.193,1.423,0.243,0.896,1.182,2.508,2.116,-0.553
2.0,0.379,-1.552,2.164,1.626,-1.446,-3.697,4.833,1.892,0.293,-1.699
0.0,1.254,4.071,0.904,1.268,-2.284,-3.917,2.197,2.756,0.234,-3.166
1.0,-1.093,1.561,-2.25,1.681,0.968,1.581,-0.839,-1.482,-1.154,-0.767
1.0,0.844,0.24,-2.482,2.048,-0.69,1.184,-1.132,2.048,-0.471,-0.893
0.0,-0.896,-3.693,0.629,-1.398,-3.892,-0.038,-0.782,-1.554,0.392,-1.592
1.0,-6.864,-0.198,1.385,1.001,-5.554,2.579,-4.685,-4.449,-2.407,-5.385
2.0,2.251,-2.588,-1.717,-2.88,-1.351,-2.122,1.355,0.864,0.051,-1.478
0.0,2.275,1.328,-0.151,-1.277,-3.424,-3.742,2.812,1.477,-2.66,-2.551
1.0,-1.845,-5.156,-4.009,2.48,-2.335,3.152,-1.305,-0.968,-1.975,-0.042
2.0,2.303,-1.275,-1.279,2.136,-1.42,-1.417,3.191,4.364,3.298,2.114
1.0,-3.735,5.432,0.026,1.896,2.32,4.239,0.43,1.485,1.257,-2.678
0.0,1.462,0.941,-1.107,4.958,1.196,0.507,-0.692,1.827,0.341,1.032
0.0,-1.544,1.439,-2.641,-4.655,-0.135,0.295,1.513,-0.32,1.649,0.6
1.0,-3.859,3.116,-3.449,1.772,-0.543,-2.172,1.482,4.505,-0.064,-3.539
1.0,-1.622,-0.474,-0.137,2.976,2.892,1.657,-0.377,-0.716,-3.159,-1.229
2.0,-1.716,-1.294,4.805,-0.72,1.888,2.203,-2.454,1.497,-1.672,0.401
2.0,2.356,-4.379,-0.243,1.647,2.161,-0.811,1.398,0.231,2.827,0.172
2.0,2.231,-0.224,-3.78,-3.024,0.636,3.349,-4.35,2.84,-2.139,-1.373
1.0,-1.658,-0.091,0.074,2.24,1.767,-0.766,-4.393,1.912,-4.257,0.602
0.0,0.818,0.581,0.959,-0.074,-0.643,-2.875,-2.767,5.468,-0.105,0.449
2.0,3.194,0.939,-2.394,-3.429,0.552,3.535,-2.442,3.86,1.437,-1.909
0.0,1.751,2.996,-1.387,1.455,-1.069,-2.498,0.309,1.541,-1.618,-2.774
2.0,1.692,-2.771,-1.919,-0.681,0.328,-1.192,-1.083,0.526,0.907,1.436
0.0,-2.528,-0.349,-1.021,-0.385,-0.795,-1.587,-0.108,-1.677,0.747,-4.756
0.0,2.451,3.404,0.386,0.934,-1.802,-1.895,-0.046,2.841,0.403,-3.183
1.0,-2.17,-0.918,-1.416,1.586,-2.713,2.809,-2.042,-0.522,-2.863,-2.445
1.0,-2.464,-1.529,-2.805,1.496,3.33,2.527,-3.053,0.472,-2.56,2.149
1.0,-1.923,-1.814,-3.651,2.534,1.152,1.333,-2.78,-2.156,-0.768,-0.998
2.0,-1.187,0.785,4.375,-1.335,1.689,3.44,-1.114,2.253,1.586,-0.61
1.0,-3.75,4.161,-1.523,1.456,2.736,3.642,-2.607,2.663,0.307,-1.86
1.0,-2.78,0.797,-3.064,1.866,-0.062,0.828,-0.107,3.779,1.708,-1.816
0.0,4.401,5.708,-2.837,3.644,0.814,-0.126,-0.744,0.703,-3.937,-5.697
0.0,-1.799,2.053,-1.691,-3.746,-1.284,1.741,2.15,0.892,-0.54,-2.818
0.0,-0.143,-0.169,-1.653,0.885,-2.537,-2.43,2.988,2.224,0.292,0.466
1.0,0.956,-2.189,-3.257,1.661,-1.088,1.163,1.112,-0.157,-1.013,-1.205
1.0,-1.15,2.158,0.829,-0.538,1.477,2.832,-1.94,1.516,-4.176,-1.572
1.0,-2.369,-4.274,-2.135,3.135,2.044,0.083,1.156,-1.514,-1.031,-3.04
0.0,3.933,1.489,-2.978,2.725,0.888,-0.292,0.584,-0.622,-3.37,-2.26
2.0,2.582,-0.964,-1.518,-1.168,3.709,3.606,-3.653,3.101,0.182,0.298
1.0,0.003,-0.282,0.934,1.705,2.08,4.963,-4.185,-1.19,-1.618,-0.229
0.0,-2.695,-1.762,0.727,-0.926,-3.507,3.883,1.193,-1.724,2.201,-3.952
1.0,-3.213,-5.027,-2.954,2.402,-4.924,3.371,-0.894,-2.364,-3.854,-0.691
0.0,0.653,-1.118,0.316,-3.706,2.329,-2.524,-1.192,1.749,0.978,-4.054
1.0,-3.115,2.412,3.563,2.586,-1.857,0.761,-1.215,-4.788,-1.749,-4.482
0.0,3.281,0.177,0.77,-0.956,-2.712,-2.832,1.266,1.838,-2.268,-1.55
2.0,2.002,1.549,1.033,1.38,-1.944,-5.409,-0.434,4.444,1.1,1.429
2.0,3.003,-4.213,-2.398,1.128,2.271,0.458,3.513,1.439,0.999,-0.523
1.0,-1.389,-0.883,-1.313,1.387,-1.222,2.16,-0.73,-1.748,-2.416,-4.587
0.0,0.327,0.868,1.987,2.655,1.222,-1.213,-2.02,3.52,0.744,2.154
0.0,-1.18,-1.478,-3.063,-0.726,-0.472,2.827,2.535,-1.292,0.813,-2.253
1.0,-2.308,-2.617,-0.081,3.902,0.502,0.257,1.194,-1.3,-2.231,-2.574
1.0,-5.077,5.399,-2.355,0.408,1.785,1.222,0.977,3.906,-0.997,-2.027
1.0,-1.904,-4.569,-1.938,1.815,0.125,-0.994,-0.906,-1.923,0.27,-0.989
0.0,1.92,0.272,1.341,0.258,-2.07,-1.629,0.846,2.943,1.227,-0.153
1.0,1.293,-2.52,-3.611,3.241,1.139,1.87,2.995,0.603,-2.445,0.459
0.0,0.752,3.017,-4.336,-7.769,3.663,2.21,4.144,3.581,-0.789,-3.361
0.0,-0.169,1.492,-1.631,0.553,1.995,0.41,-2.001,1.833,-3.721,0.093
1.0,-1.037,-1.582,-1.744,1.99,-0.289,1.853,0.932,0.85,-3.768,-4.772
1.0,-3.613,-0.577,0.463,1.004,-2.214,0.242,-3.096,-0.116,-1.707,-7.789
2.0,0.017,-0.081,-3.432,-1.596,2.757,-1.191,2.567,-0.418,-1.382,1.292
0.0,-0.833,-1.938,1.754,-2.703,0.168,0.212,-0.34,-0.342,3.765,-3.745
1.0,-1.522,3.231,-2.134,0.22,2.91,-0.645,-1.75,2.914,-5.896,-2.741
2.0,1.439,-2.564,-0.428,-2.495,2.494,2.723,0.505,1.55,-4.182,2.38
1.0,-0.372,-4.944,-2.817,1.8,0.566,-0.124,-5.207,0.913,-2.576,1.627
2.0,2.176,-1.123,-3.922,0.192,-1.689,-0.359,0.228,4.349,3.219,3.85
1.0,-2.61,0.601,-1.866,0.66,2.561,3.863,-1.129,3.344,-0.63,0.279
0.0,-1.986,-3.562,1.292,-1.214,-2.355,-2.196,-1.793,-1.947,2.006,-2.022
2.0,-1.354,-1.747,-2.176,-1.904,-1.269,-1.446,2.982,1.776,1.053,2.325
2.0,0.66,-1.267,-4.964,-0.807,-4.383,0.45,2.538,0.582,3.61,5.326
0.0,0.402,2.175,-2.149,1.044,-1.257,-0.744,-0.023,2.261,-1.425,-1.77
1.0,-3.976,1.202,-6.452,1.515,2.389,-1.847,-0.736,3.7,-1.49,-0.631
1.0,1.619,4.351,2.436,2.232,3.283,1.908,0.69,4.122,-3.198,-4.535
0.0,-0.161,-2.191,-2.23,-2.3,-2.452,6.688,3.634,-1.08,0.652,-2.341
1.0,-3.003,0.179,-0.415,0.4,-1.328,1.103,-3.854,-0.99,-0.86,-5.4
1.0,-3.07,4.243,-2.181,0.903,1.802,0.938,0.483,3.278,-1.437,-2.186
2.0,2.184,1.685,-3.351,-2.697,0.58,3.913,0.243,1.935,-1.058,-1.238
0.0,-1.698,-2.937,-2.786,-1.55,2.435,-2.705,-0.018,0.317,0.601,-0.259
2.0,2.781,-2.59,-3.916,2.116,-0.179,0.838,5.541,0.155,6.07,5.714
0.0,-0.102,-2.309,-2.588,-2.36,-2.76,2.346,3.1,-3.84,2.038,-1.555
0.0,0.803,0.718,-1.228,1.404,0.366,-0.966,5.076,-0.855,-2.099,0.234
1.0,1.93,-2.96,-4.661,0.992,3.139,-0.145,0.031,-1.14,-4.893,2.606
0.0,0.205,-0.283,-2.394,-3.0,-1.888,1.723,1.278,-1.267,1.388,0.466
0.0,1.214,-1.717,1.511,-1.694,1.384,-1.252,1.708,1.374,-1.552,2.43
0.0,0.994,0.513,-3.485,-1.093,-2.614,-1.172,1.526,2.261,-1.224,-2.229
0.0,0.58,-4.339,-3.328,0.308,-2.538,2.696,4.105,-4.359,0.786,-1.728
0.0,-0.382,-0.553,-1.706,-0.152,-2.477,-1.084,3.446,1.56,-1.826,0.682
2.0,1.82,-3.775,-3.528,-0.498,0.246,0.636,1.183,-1.064,1.772,0.327
2.0,-1.435,1.808,0.623,-0.63,-3.043,2.334,-5.668,0.901,-1.956,-4.447
0.0,-4.175,0.202,-2.582,-1.719,0.925,3.78,4.331,-0.938,3.042,-2.315
2.0,1.603,-1.483,0.23,4.358,-0.008,-1.88,2.155,2.922,2.786,-0.01
2.0,2.821,-0.36,-1.329,6.534,-0.428,-1.09,0.794,3.703,3.319,4.87
1.0,-2.779,-1.775,-3.017,-0.399,-2.535,1.462,-3.327,-2.434,0.17,-2.303
0.0,-1.531,0.212,-3.531,-0.73,-2.388,2.122,2.904,-2.337,0.442,-0.446
1.0,0.132,-2.674,-2.944,1.776,1.898,-0.478,-0.472,-0.013,0.659,-1.969
1.0,-0.535,-2.458,-3.494,-0.19,-2.545,2.253,-1.73,-2.277,-1.753,0.865
2.0,-0.729,-1.194,-0.534,1.544,1.483,0.03,-0.294,-1.491,-3.764,-0.8
0.0,0.988,2.17,-2.586,1.664,-2.002,-1.425,-0.255,3.159,-1.319,-2.259
1.0,-1.34,-2.339,-3.843,1.772,-3.888,3.776,-0.717,-1.622,-2.557,1.338
2.0,4.205,0.48,-5.16,-1.262,1.135,3.75,-1.96,2.156,-1.357,-2.962
0.0,3.833,1.146,-0.322,-0.706,0.776,-1.759,-0.592,1.261,-2.559,-1.795
1.0,0.37,0.059,-0.855,1.804,-3.253,2.67,-1.25,1.125,-4.199,0.078
2.0,2.736,-1.522,-0.692,-1.608,-1.676,-3.365,0.233,0.526,0.974,0.664
0.0,1.077,-0.133,-0.658,3.131,1.086,1.212,0.318,0.899,-1.296,1.772
0.0,-2.134,-0.182,-0.745,-2.895,0.575,0.349,-0.202,1.644,-0.154,-3.998
1.0,-1.067,-1.479,-2.055,2.464,2.313,3.603,-3.41,0.187,0.33,0.472
0.0,-4.173,1.665,-1.181,-3.093,-3.713,0.794,0.269,-1.64,1.05,-1.265
2.0,0.314,-0.875,-2.375,0.029,-2.737,-1.652,-1.251,0.86,1.08,2.776
2.0,-0.155,2.146,-1.201,4.391,-5.704,-2.647,3.307,3.65,0.218,3.452
2.0,2.514,-0.258,-2.465,-3.399,1.342,2.846,-2.362,3.151,-1.31,-2.733
1.0,-1.246,-1.575,-2.011,1.429,-1.285,2.451,-3.041,0.014,-0.992,-0.973
0.0,-0.102,0.653,-5.749,-2.769,-3.678,7.18,7.527,-2.396,-1.899,-2.681
2.0,2.359,-0.933,1.196,1.973,0.62,-3.879,-2.581,4.135,-0.667,-1.136
1.0,-1.353,0.724,-0.822,3.16,1.965,3.135,0.82,1.584,-4.659,-4.643
0.0,-2.628,-2.641,-1.062,0.521,-2.47,3.089,2.04,-3.587,2.81,-3.887
0.0,-2.652,-1.282,-0.24,-2.114,-1.122,0.763,0.134,-1.472,2.966,-2.621
2.0,0.799,-2.34,-1.315,-2.043,-0.09,-0.864,-3.027,1.322,-2.127,-1.819
2.0,-1.898,-0.963,-0.213,-1.93,0.323,-2.312,2.864,-0.928,-1.07,-1.799
2.0,2.432,-1.607,-0.152,1.75,0.521,-2.524,4.934,0.348,4.203,1.137
0.0,-0.779,-2.478,-1.5,-1.481,-3.445,0.283,1.798,-3.994,2.064,0.692
1.0,-4.443,-0.144,-2.01,-2.346,-4.582,2.206,-5.066,-6.267,0.297,0.449
0.0,-1.379,2.02,-1.433,-4.24,-1.265,2.287,2.003,0.537,0.142,-4.491
0.0,-3.597,0.501,-1.623,-2.377,0.534,-0.531,0.325,-0.732,2.623,-1.126
1.0,-3.51,1.887,-4.157,0.446,3.47,2.856,-0.437,0.972,-2.195,-1.031
0.0,-4.835,-2.522,-3.369,1.107,0.028,0.407,0.887,2.64,-1.477,5.06
0.0,-0.156,0.721,-2.003,2.404,-2.339,-1.168,1.306,1.702,-2.417,-0.002
