batchID,quality
B040188,good
B025510,good
B041196,good
B042534,good
B028581,good
B043338,good
B008259,good
B049978,good
B037925,good
B007727,good
B044193,good
B042770,good
B009169,good
B027840,good
B010327,good
B014658,good
B037461,poor
B005226,poor
B043084,poor
B026755,poor
B049240,poor
B009775,poor
B008886,poor
B049660,poor
B033953,poor
B009938,poor
B028649,poor
B020673,poor
B021115,poor
B025018,poor
B032030,poor
B014067,poor
B007941,poor
B029364,poor
B004895,poor
B004296,poor
B016059,poor
B044916,poor
B017416,poor
B037411,poor
