serial_nbr,batchID
S007B007815,B007815
S000B021620,B021620
S002B049209,B049209
S008B031389,B031389
S000B005933,B005933
S009B032474,B032474
S009B000892,B000892
S001B049865,B049865
S000B024501,B024501
S009B002403,B002403
S002B048013,B048013
S002B043592,B043592
S003B027536,B027536
S001B015266,B015266
S003B026178,B026178
S006B019884,B019884
S006B004848,B004848
S004B046329,B046329
S005B018062,B018062
S005B023515,B023515
S005B023007,B023007
S008B029971,B029971
S002B013771,B013771
S007B027025,B027025
S003B047833,B047833
S005B021377,B021377
S001B001288,B001288
S003B003995,B003995
S006B024651,B024651
S004B003875,B003875
S008B049941,B049941
S005B049807,B049807
S006B019863,B019863
S005B030629,B030629
S002B015496,B015496
S003B000421,B000421
S008B020864,B020864
S000B044760,B044760
S007B020032,B020032
S002B021306,B021306
S004B034108,B034108
S005B035105,B035105
S005B025330,B025330
S009B030158,B030158
S008B002970,B002970
S009B034323,B034323
S007B003614,B003614
S007B041644,B041644
S003B043815,B043815
S006B046693,B046693
S003B026669,B026669
S004B046432,B046432
S002B025299,B025299
S007B006714,B006714
S001B038836,B038836
S007B035134,B035134
S002B004638,B004638
S003B024010,B024010
S003B037373,B037373
S008B016941,B016941
S004B006263,B006263
S007B045766,B045766
S008B028453,B028453
S004B028521,B028521
S007B045082,B045082
S009B005978,B005978
S007B016581,B016581
S006B028308,B028308
S001B033931,B033931
S001B037674,B037674
S002B020779,B020779
S000B045936,B045936
S000B046058,B046058
S008B049574,B049574
S000B007324,B007324
S002B019670,B019670
S009B046036,B046036
S004B024707,B024707
S002B019081,B019081
S004B030795,B030795
S001B017421,B017421
S009B001620,B001620
S009B031751,B031751
S007B035716,B035716
S006B021271,B021271
S007B019174,B019174
S009B026817,B026817
S003B048201,B048201
S004B045499,B045499
S004B017539,B017539
S007B027249,B027249
S007B032114,B032114
S008B028397,B028397
S001B014070,B014070
S000B031850,B031850
S001B015283,B015283
S008B027731,B027731
S004B004144,B004144
S002B006633,B006633
S000B003546,B003546
S000B014090,B014090
S003B029074,B029074
S008B013895,B013895
S004B010784,B010784
S000B020959,B020959
S000B022257,B022257
S002B028453,B028453
S009B025810,B025810
S000B036052,B036052
S005B013020,B013020
S003B021808,B021808
S008B000147,B000147
S005B014552,B014552
S009B014570,B014570
S007B000593,B000593
S005B039058,B039058
S000B015983,B015983
S005B000519,B000519
S002B036777,B036777
S006B012475,B012475
S002B023570,B023570
S000B048554,B048554
S006B017319,B017319
S005B047842,B047842
S004B041450,B041450
S006B012435,B012435
S000B024898,B024898
S003B000128,B000128
S002B045003,B045003
S003B005933,B005933
S007B008519,B008519
S007B039426,B039426
S005B047492,B047492
S000B048863,B048863
S005B019272,B019272
S005B034202,B034202
S007B000370,B000370
S009B012123,B012123
S006B050266,B050266
S000B042813,B042813
S002B025721,B025721
S000B029906,B029906
S009B015699,B015699
S007B041567,B041567
S002B031693,B031693
S004B047734,B047734
S002B047172,B047172
S007B020037,B020037
S002B013014,B013014
S006B009540,B009540
S003B010290,B010290
S004B047088,B047088
S004B042992,B042992
S007B007292,B007292
S005B039860,B039860
S009B012468,B012468
S005B045235,B045235
S006B018456,B018456
S000B010124,B010124
S005B007183,B007183
S003B007766,B007766
S007B004773,B004773
S003B005390,B005390
S005B008876,B008876
S002B027204,B027204
S008B000306,B000306
S002B039058,B039058
S009B049813,B049813
S000B024581,B024581
S002B030821,B030821
S003B011169,B011169
S000B029971,B029971
S005B010195,B010195
S003B048308,B048308
S003B028893,B028893
S004B048222,B048222
S007B023597,B023597
S009B044862,B044862
S007B026396,B026396
S006B028977,B028977
S003B034781,B034781
S000B046232,B046232
S009B034111,B034111
S002B004773,B004773
S004B040603,B040603
S000B033801,B033801
S009B017384,B017384
S004B038979,B038979
S005B016251,B016251
S004B047981,B047981
S000B029182,B029182
S004B023007,B023007
S001B045205,B045205
S000B036691,B036691
S002B034442,B034442
S001B010223,B010223
S000B032378,B032378
S007B034061,B034061
S009B029982,B029982
S004B033047,B033047
S004B013668,B013668
S002B049343,B049343
S001B018975,B018975
S007B034517,B034517
S005B031696,B031696
S005B019786,B019786
S004B049313,B049313
S000B028666,B028666
S004B031214,B031214
S004B035719,B035719
S005B025003,B025003
S002B008742,B008742
S008B003440,B003440
S008B035325,B035325
S006B009372,B009372
S006B039725,B039725
S001B024886,B024886
S004B005852,B005852
S008B019506,B019506
S002B007529,B007529
S008B024113,B024113
S009B044325,B044325
S001B017446,B017446
S006B016403,B016403
S007B020867,B020867
S001B011610,B011610
S000B049246,B049246
S001B016741,B016741
S001B001308,B001308
S004B012034,B012034
S006B007688,B007688
S008B034577,B034577
S005B028790,B028790
S008B034531,B034531
S008B029424,B029424
S002B025485,B025485
S008B006633,B006633
S003B013180,B013180
S004B045212,B045212
S003B006714,B006714
S004B024999,B024999
S007B039119,B039119
S006B026583,B026583
S000B040644,B040644
S003B031102,B031102
S007B048403,B048403
S005B048623,B048623
S000B030104,B030104
S001B004833,B004833
S005B001055,B001055
S009B035856,B035856
S003B047200,B047200
S006B039341,B039341
S006B048835,B048835
S002B047095,B047095
S009B030443,B030443
S006B002403,B002403
S008B013327,B013327
S007B016841,B016841
S002B019506,B019506
S001B000485,B000485
S009B036868,B036868
S007B026999,B026999
S008B038501,B038501
S003B047453,B047453
S008B027249,B027249
S007B032703,B032703
S007B032081,B032081
S004B038337,B038337
S000B033583,B033583
S001B035377,B035377
S000B017776,B017776
S006B018051,B018051
S007B029116,B029116
S004B044959,B044959
S005B047833,B047833
S009B041100,B041100
S002B040644,B040644
S005B028203,B028203
S004B030905,B030905
S005B000190,B000190
S000B023620,B023620
S000B028801,B028801
S000B013460,B013460
S001B047101,B047101
S004B029182,B029182
S001B000460,B000460
S002B033602,B033602
S003B034124,B034124
S006B037211,B037211
S006B014659,B014659
S003B019740,B019740
S000B020386,B020386
S003B010693,B010693
S001B037164,B037164
S007B022133,B022133
S009B036146,B036146
S005B036548,B036548
S006B020135,B020135
S006B024407,B024407
S004B006016,B006016
S005B024680,B024680
S001B026096,B026096
S002B044862,B044862
S009B047094,B047094
S005B021768,B021768
S004B021756,B021756
S003B048672,B048672
S008B028258,B028258
S008B030618,B030618
S006B010344,B010344
S005B024942,B024942
S006B001696,B001696
S002B037806,B037806
S005B014862,B014862
S002B022453,B022453
S009B005695,B005695
S008B030908,B030908
S002B048308,B048308
S001B036691,B036691
S008B007995,B007995
S006B047456,B047456
S009B028959,B028959
S009B030710,B030710
S000B042614,B042614
S003B003758,B003758
S008B019650,B019650
S006B025791,B025791
S008B039955,B039955
S000B008128,B008128
S008B000396,B000396
S009B049019,B049019
S001B048477,B048477
S009B017446,B017446
S001B019318,B019318
S007B013895,B013895
S008B049584,B049584
S003B043552,B043552
S001B023210,B023210
S002B004524,B004524
S007B005066,B005066
S009B021481,B021481
