batchID,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25,test26,test27,test28,test29,test30
B008010,900,769,977,664,376,695,114,246,152,473,173,934,792,765,476,187,1,182,768,622,129,859,448,373,124,751,611,492,99,779
B011090,760,531,6,151,195,703,436,997,364,686,898,509,89,466,192,744,969,995,546,469,667,508,215,15,48,286,887,28,938,863
B045268,32,214,948,693,461,581,667,563,714,415,888,750,522,157,174,571,404,960,211,757,668,382,221,893,384,428,199,924,7,751
B048308,509,836,193,886,834,773,349,803,146,965,605,254,751,726,403,985,432,258,375,150,656,556,168,882,314,653,711,118,735,935
B019282,34,782,171,193,521,245,265,170,791,569,945,533,475,84,274,511,470,110,423,817,509,244,246,639,783,978,809,158,786,28
B034963,949,155,362,483,306,631,47,361,451,728,714,78,787,902,443,7,429,375,926,151,773,359,730,912,100,787,912,378,290,980
B001208,375,142,225,182,976,701,335,621,869,701,559,137,72,756,872,93,740,275,664,588,506,373,76,269,38,212,423,707,815,160
B039396,600,39,128,207,644,900,943,738,455,439,416,716,151,553,146,453,413,612,1,732,950,818,918,891,637,876,484,277,184,231
B047545,567,428,796,279,159,747,43,501,759,809,759,133,889,472,419,802,796,561,552,105,887,902,733,569,497,596,827,773,374,860
B040358,352,282,507,539,365,977,571,919,139,928,988,847,321,953,439,478,727,158,355,176,256,338,81,162,121,950,450,356,487,293
B013104,489,211,607,129,183,773,791,304,892,861,116,821,960,270,112,8,403,816,840,623,987,155,873,725,880,602,563,227,446,400
B036897,72,957,695,312,504,410,231,229,551,244,771,497,813,545,74,391,667,159,237,486,605,466,675,749,910,139,46,231,734,107
B035851,185,107,88,879,926,938,767,915,376,157,985,637,658,580,470,950,537,409,718,482,240,56,431,452,773,859,281,732,233,916
B028722,222,496,665,344,342,329,980,558,614,351,636,254,741,726,319,191,249,832,274,92,275,816,155,257,420,761,165,636,37,513
B038618,126,404,284,710,271,623,437,135,872,13,858,909,99,144,344,843,279,788,974,256,581,55,97,466,762,758,294,243,291,447
B010919,451,957,854,724,259,426,756,432,195,38,282,188,870,375,700,368,784,653,686,107,771,150,331,504,152,861,224,958,104,443
B034012,905,222,186,199,616,220,86,270,225,753,223,996,643,163,413,558,15,706,189,381,431,226,282,558,448,993,800,762,369,797
B003649,719,297,488,790,584,281,402,763,542,947,375,562,520,128,37,343,559,37,595,391,773,145,570,885,635,431,805,307,729,709
B050157,516,513,742,35,782,137,981,39,950,225,618,530,106,333,720,340,773,542,1,955,121,715,362,281,270,21,487,482,89,116
B012579,258,645,890,865,375,752,93,704,829,186,894,265,130,41,363,556,655,425,254,148,750,172,489,116,277,737,369,695,477,149
B001624,752,992,277,776,570,781,972,82,999,220,873,677,684,54,981,260,726,583,744,634,967,834,35,862,899,40,394,606,211,984
B006265,467,576,320,868,241,36,56,787,841,504,77,54,54,921,30,647,865,315,969,451,918,424,901,246,911,173,917,580,704,353
B014280,349,344,498,266,574,15,219,716,878,787,67,396,507,839,766,561,937,921,94,481,692,667,891,640,898,916,659,147,53,73
B001640,541,296,927,703,633,545,139,495,108,612,973,23,9,688,875,521,93,350,666,985,266,719,287,373,935,924,914,897,831,518
B008466,829,986,671,430,358,446,765,610,422,95,343,105,447,362,355,778,486,669,710,99,889,169,751,602,294,876,315,430,586,412
B035365,694,770,392,516,111,756,441,920,598,736,893,0,920,669,219,199,49,942,583,410,821,428,568,238,796,180,467,0,314,181
B000578,440,330,189,797,445,765,596,362,461,235,936,373,67,662,120,150,321,727,799,391,129,44,692,797,57,675,612,457,281,411
